Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0090441,-0.0017763,2.8469E-07,0,0,0,12.824,0.28319,-0.0019487,-1.2976E-06,1.3553,5.0637E-07,1.4985,0,0,0,0,0,0,package://spot_like_tachyon/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spot_like_tachyon/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
swing_link_front_left,-0.0500000000000007,-0.0270678226112841,1.40574217782001E-15,0,0,0,0.414191236384345,0.00039937576193217,-3.32555452602677E-19,7.15908570969894E-23,0.000597919401912998,-8.08379642835925E-21,0.000452984578307331,0,0,0,0,0,0,package://spot_like_tachyon/meshes/swing_link_front_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spot_like_tachyon/meshes/swing_link_front_left.STL,,swing_link-7,Origin_base_link_to_front_left_leg,Axis_base_link_to_front_left_leg,base_link_to_front_left_leg,revolute,0.245526363586769,0.162876303538725,0,0,0,-3.14159265358979,base_link,1,0,0,1000,0.5,-3.14,3.14,,,0.1,0.1,,,,
upper_limb_link_front_left,-0.010966171906638,0.0499999747659611,-0.195723156478282,0,0,0,1.95817516519427,0.0258175996818492,-3.84178471724602E-08,-0.00120773015606982,0.0255051336123879,-9.74340791236995E-10,0.00494126700774013,0,0,0,0,0,0,package://spot_like_tachyon/meshes/upper_limb_link_front_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spot_like_tachyon/meshes/upper_limb_link_front_left.STL,,upper_link-6,Origin_swing_link_to_upper_limb_link_joint_front_left,Axis_swing_link_to_upper_limb_link_joint_front_left,swing_link_to_upper_limb_link_joint_front_left,revolute,-0.0499999999999999,-0.049997734345438,0,0,0,3.14159265358979,swing_link_front_left,0,1,0,1000,0.5,-3.14,3.14,,,0.1,0.1,,,,
lower_limb_link_front_left,0.00525347694550699,0.0350021540283263,-0.1897008983798,0,0,0,1.10507308028095,0.0232214605443888,2.77735685257532E-08,-0.000405908720123269,0.0234825758483115,-1.3717004284145E-07,0.00116342257277221,0,0,0,0,0,0,package://spot_like_tachyon/meshes/lower_limb_link_front_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spot_like_tachyon/meshes/lower_limb_link_front_left.STL,,lower_link-6,Origin_upper_limb_link_to_lower_limb_link_joint_front_left,Axis_upper_limb_link_to_lower_limb_link_joint_front_left,upper_limb_link_to_lower_limb_link_joint_front_left,revolute,-0.00273365306192419,0.0150000000000008,-0.403460545677345,0,0,0,upper_limb_link_front_left,0,1,0,1000,0.5,-3.14,3.14,,,0.1,0.1,,,,
swing_link_front_right,0.05,-0.027067822611284,-1.42717924174675E-15,0,0,0,0.414191236384345,0.00039937576193217,-1.52495900169695E-20,-8.03399169942128E-21,0.000597919401912998,1.79321795069259E-20,0.000452984578307331,0,0,0,0,0,0,package://spot_like_tachyon/meshes/swing_link_front_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spot_like_tachyon/meshes/swing_link_front_right.STL,,swing_link-1,Origin_base_link_to_front_right_leg,Axis_base_link_to_front_right_leg,base_link_to_front_right_leg,revolute,0.245526363586771,-0.167123696461276,0,0,0,0,base_link,1,0,0,1000,0.5,-3.14,3.14,,,0.1,0.1,,,,
upper_limb_link_front_right,-0.0109661719066364,-0.0500000252340397,-0.195723156478285,0,0,0,1.95817516519428,0.0258175996818492,-3.84178471717061E-08,-0.00120773015606981,0.0255051336123879,-9.7434079184995E-10,0.00494126700774015,0,0,0,0,0,0,package://spot_like_tachyon/meshes/upper_limb_link_front_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spot_like_tachyon/meshes/upper_limb_link_front_right.STL,,upper_link-1,Origin_swing_link_to_upper_limb_link_joint_front_right,Axis_swing_link_to_upper_limb_link_joint_front_right,swing_link_to_upper_limb_link_joint_front_right,revolute,0.05,-0.0499977343454362,0,0,0,0,swing_link_front_right,0,1,0,1000,0.5,-3.14,3.14,,,0.1,0.1,,,,
lower_limb_link_front_right,0.00525347694550743,-0.0349978459716738,-0.1897008983798,0,0,0,1.10507308028094,0.0232214605443887,2.77735685256535E-08,-0.000405908720123268,0.0234825758483114,-1.37170042841387E-07,0.00116342257277221,0,0,0,0,0,0,package://spot_like_tachyon/meshes/lower_limb_link_front_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spot_like_tachyon/meshes/lower_limb_link_front_right.STL,,lower_link-1,Origin_upper_limb_link_to_lower_limb_link_joint_front_right,Axis_upper_limb_link_to_lower_limb_link_joint_front_right,upper_limb_link_to_lower_limb_link_joint_front_right,revolute,-0.00273365306192319,-0.015,-0.403460545677348,0,0,0,upper_limb_link_front_right,0,1,0,1000,0.5,-3.14,3.14,,,0.1,0.1,,,,
swing_link_back_right,-0.05,-0.0270678226112841,-1.40680606241962E-15,0,0,0,0.414191236384345,0.00039937576193217,-1.52773727632641E-20,-9.81759989523875E-21,0.000597919401912998,1.95455342462541E-20,0.000452984578307331,0,0,0,0,0,0,package://spot_like_tachyon/meshes/swing_link_back_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spot_like_tachyon/meshes/swing_link_back_right.STL,,swing_link-5,Origin_base_link_to_back_right_leg,Axis_base_link_to_back_right_leg,base_link_to_back_right_leg,revolute,-0.249773756509325,-0.167123696461276,0,0,0,0,base_link,1,0,0,1000,0.5,-3.14,3.14,,,0.1,0.1,,,,
upper_limb_link_back_right,-0.0109661719066364,-0.0500000252340398,-0.195723156478284,0,0,0,1.95817516519427,0.0258175996818492,-3.84178471723798E-08,-0.00120773015606981,0.0255051336123879,-9.7434079393868E-10,0.00494126700774013,0,0,0,0,0,0,package://spot_like_tachyon/meshes/upper_limb_link_back_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spot_like_tachyon/meshes/upper_limb_link_back_right.STL,,upper_link-5,Origin_swing_link_to_upper_limb_link_joint_back_right,Axis_swing_link_to_upper_limb_link_joint_back_right,swing_link_to_upper_limb_link_joint_back_right,revolute,-0.05,-0.0499977343454403,0,0,0,0,swing_link_back_right,0,1,0,1000,0.5,-3.14,3.14,,,0.1,0.1,,,,
lower_limb_link_back_right,0.00525347694550743,-0.0349978459716738,-0.1897008983798,0,0,0,1.10507308028094,0.0232214605443888,2.77735685273775E-08,-0.000405908720123273,0.0234825758483114,-1.37170042841995E-07,0.00116342257277221,0,0,0,0,0,0,package://spot_like_tachyon/meshes/lower_limb_link_back_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spot_like_tachyon/meshes/lower_limb_link_back_right.STL,,lower_link-5,Origin_upper_limb_link_to_lower_limb_link_joint_back_right,Axis_upper_limb_link_to_lower_limb_link_joint_back_right,upper_limb_link_to_lower_limb_link_joint_back_right,revolute,-0.00273365306192319,-0.015,-0.403460545677347,0,0,0,upper_limb_link_back_right,0,1,0,1000,0.5,-3.14,3.14,,,0.1,0.1,,,,
